date,US_Confirmed,US_Death,US_Retail_Rec,US_Grocery_Pharm,US_Parks,US_Transit,US_Workplaces,US_Residential,New_York_Confirmed,New_York_Deaths,New_York_Retail_Rec,New_York_Grocery_Pharm,New_York_Parks,New_York_Transit,New_York_Workplaces,New_York_Residential,Texas_Confirmed,Texas_Deaths,Texas_Retail_Rec,Texas_Grocery_Pharm,Texas_Parks,Texas_Transit,Texas_Workplaces,Texas_Residential,California_Confirmed,California_Deaths,California_Retail_Rec,California_Grocery_Pharm,California_Parks,California_Transit,California_Workplaces,California_Residential,Florida_Confirmed,Florida_Deaths,Florida_Retail_Rec,Florida_Grocery_Pharm,Florida_Parks,Florida_Transit,Florida_Workplaces,Florida_Residential,Illinois_Confirmed,Illinois_Deaths,Illinois_Retail_Rec,Illinois_Grocery_Pharm,Illinois_Parks,Illinois_Transit,Illinois_Workplaces,Illinois_Residential
7/29/20,4408488,151353,-2624,6289,35841,-7130,-79929,11410,413593,32654,-306,276,2021,-691,-2060,515,418995,7066,-995,-449,804,-766,-6065,944,484913,8908,-1095,-126,1927,-1100,-2063,514,451423,6333,-961,-530,-638,-1029,-2196,476,176363,7654,-266,13,1199,-86,-2747,335
7/30/20,4475795,152559,-3740,6901,34926,-6228,-80826,11570,414370,32672,-137,459,1861,-605,-2075,472,428229,7189,-1010,-283,1162,-742,-6205,873,492934,9026,-999,-39,1705,-1026,-2080,515,461379,6586,-875,-430,-148,-943,-2178,435,178135,7670,-262,110,1134,-141,-2758,367
7/31/20,4542718,153810,-5992,8429,37003,-4004,-78454,10453,415014,32675,-456,440,1812,-594,-2108,460,438293,7309,-1220,-296,724,-698,-6258,871,500556,9214,-1117,41,1518,-941,-1989,496,470386,6843,-885,-191,-196,-939,-2190,448,180115,7692,-339,18,1443,63,-2724,289
8/1/20,4599517,154919,-8193,10351,44636,1481,-21297,2082,415767,32684,-420,494,1762,-113,-612,24,444738,7576,-1256,-122,924,-811,-2205,268,506613,9345,-1104,160,2000,-726,-858,227,480028,7022,-1031,-231,-686,-914,-1065,241,181754,7700,-406,337,1571,251,-585,26
8/2/20,4646298,155317,-2035,5791,42736,326,-25354,1825,416298,32697,-32,176,2101,-363,-669,60,448145,7581,-873,-386,628,-481,-2335,223,512175,9396,-860,-58,2515,-608,-894,181,487132,7084,-1324,-837,-914,-1352,-1462,305,183224,7714,-157,167,1651,180,-622,20
8/3/20,4690739,155844,2428,10785,29868,-6188,-76672,10340,416843,32697,55,622,1952,-613,-2029,435,456624,7718,-667,-318,380,-813,-5732,792,516851,9441,-801,29,1787,-953,-1965,448,491884,7157,-870,-584,-580,-1077,-2163,421,184522,7723,-118,244,992,-68,-2663,308
8/4/20,4747644,157214,-1867,7285,31314,-8454,-81886,11711,417589,32703,-746,-155,569,-897,-2219,641,466032,7952,-712,-361,1048,-832,-6097,880,526685,9684,-868,73,1925,-982,-2022,481,497330,7402,-882,-528,-537,-940,-2157,452,185993,7742,-129,282,1299,-92,-2684,313
8/5/20,4800948,158580,952,9399,37211,-5682,-78367,10124,418225,32736,-84,476,1951,-611,-2058,394,476999,8310,-715,-250,1131,-650,-5876,856,530606,9808,-951,-21,1713,-974,-2021,487,502739,7627,-899,-576,-483,-1026,-2157,451,187752,7770,-171,191,1661,-127,-2679,294
8/6/20,4860281,159818,-2013,8270,36273,-4557,-79065,10354,418928,32741,-33,575,1729,-574,-2025,373,483920,8569,-1000,-270,1352,-745,-5952,827,541339,10021,-926,20,1850,-900,-2031,486,510389,7747,-913,-562,-396,-998,-2166,436,189705,7791,-97,290,1445,-55,-2666,284
8/7/20,4917855,161053,-8524,4031,36634,-4568,-76714,10054,419642,32744,-617,238,1536,-705,-2121,481,491304,8847,-1382,-477,876,-662,-5968,811,546814,10133,-1121,3,2141,-882,-1960,479,518075,7927,-1027,-610,-353,-1097,-2185,461,191808,7822,-84,64,1719,25,-2674,258
8/8/20,4972810,162126,-7807,8373,46296,1365,-19717,1628,420345,32753,-423,453,1711,-259,-590,24,497632,9058,-1249,-249,1177,-728,-2101,245,554388,10307,-1131,111,1945,-731,-839,221,526577,8109,-938,-425,-148,-932,-1024,190,193998,7840,-104,373,1676,290,-434,4
8/9/20,5018231,162632,-862,5379,47021,2131,-23799,1237,420860,32755,115,231,3308,-117,-536,-12,503328,9157,-850,-438,391,-308,-2242,206,559746,10377,-850,-100,2416,-512,-895,169,532806,8186,-904,-560,-83,-999,-1230,189,195380,7845,-12,172,1526,176,-676,21
8/10/20,5067277,163158,-2968,2938,29425,-6952,-76722,9714,421336,32764,-214,396,1887,-643,-2068,424,509581,9230,-1079,-732,414,-841,-5702,766,574231,10476,-942,-123,1694,-971,-1975,451,536961,8277,-949,-664,-593,-1071,-2130,388,196699,7846,-135,-197,577,-175,-2774,290
8/11/20,5113549,164213,-1784,6171,35145,-7436,-79432,10200,422003,32770,-254,312,1848,-620,-2060,464,517700,9222,-938,-519,892,-893,-6009,832,578946,10523,-956,-58,1875,-990,-2009,471,542792,8553,-1038,-699,-892,-1028,-2167,446,198248,7866,321,321,1071,-41,-2815,238
8/12/20,5169826,165708,-1222,6119,31220,-6654,-77908,10242,422703,32778,-193,315,1555,-653,-2031,455,523977,9527,-856,-260,960,-735,-5783,816,591376,10753,-991,-128,1454,-1094,-2009,485,550901,8765,-894,-553,-428,-1053,-2118,417,199893,7881,218,253,1374,-44,-2721,264
8/13/20,5221377,166766,-3607,6443,31200,-5954,-78226,10419,423440,32780,-125,457,1306,-549,-2029,427,530857,9771,-1172,-311,791,-835,-5897,801,597984,10870,-1025,-100,1662,-1088,-2035,498,557137,8913,-960,-601,-555,-977,-2129,425,201727,7905,139,289,1444,-117,-2651,278
8/14/20,5285243,168091,-9526,2644,36547,-5579,-75811,10004,424167,32798,-513,299,1972,-587,-2106,440,539673,10078,-1524,-526,664,-708,-5848,789,613101,11148,-1203,-30,1977,-1051,-1971,483,563285,9141,-1018,-590,-526,-1070,-2134,438,204023,7932,-36,57,1510,-8,-2555,257
8/15/20,5332073,169115,-9264,6259,39375,-277,-22105,1958,424901,32809,-417,362,1389,-146,-628,19,546552,10268,-1318,-136,796,-690,-2258,237,617994,11218,-1234,78,1861,-869,-920,227,569637,9345,-1011,-489,-557,-1047,-1074,200,205851,7937,-104,317,1375,222,-502,12
8/16/20,5373169,169680,-2243,3606,35550,77,-25067,1444,425508,32816,19,92,1114,-316,-657,43,555394,10396,-992,-457,143,-446,-2397,210,623873,11243,-973,-203,1606,-707,-940,182,573416,9452,-939,-541,12,-991,-1262,172,207412,7955,233,225,1994,190,-542,6
8/17/20,5408256,170124,-6414,-2540,2628,-7315,-35287,9281,425916,32823,-347,-128,277,-526,-1671,439,561110,10447,-545,-411,-180,-425,-2458,720,629415,11296,-943,-325,-60,-867,-1651,461,576094,9539,-855,-622,-541,-700,-1418,378,209185,7967,-95,-24,205,-243,-1100,280
8/18/20,5452608,171437,-6436,-1814,3166,-7424,-34651,10072,426571,32835,-329,-82,398,-510,-1618,436,568812,10678,-504,-323,-106,-442,-2400,804,638140,11504,-979,-281,-20,-909,-1641,495,579932,9758,-796,-525,-405,-607,-1361,395,210924,7994,-86,-9,245,-236,-1048,308
8/19/20,5499695,172777,-6083,-1959,2550,-7352,-35139,9826,427202,32840,-363,-119,211,-523,-1680,441,574633,10934,-448,-282,-65,-419,-2361,763,647274,11690,-1021,-331,-174,-906,-1673,509,584047,9932,-788,-553,-523,-675,-1393,417,213220,8017,-68,12,240,-220,-1057,291
8/20/20,5543424,173843,-6595,-1643,2965,-7038,-35172,9580,427803,32837,-297,-34,435,-477,-1665,378,579892,11174,-520,-304,-67,-467,-2412,752,652267,11810,-1022,-304,-223,-822,-1700,516,588602,10049,-806,-551,-554,-690,-1373,412,215052,8044,-87,45,238,-203,-1046,281
8/21/20,5590818,174941,-9874,-2301,2913,-7011,-33647,9599,428512,32833,-506,-101,360,-472,-1698,433,585562,11415,-688,-263,-136,-414,-2302,730,658900,11946,-1131,-342,-228,-870,-1615,531,593286,10168,-815,-463,-614,-713,-1345,429,217345,8066,-164,9,245,-182,-1026,245
8/22/20,5634474,175924,-11311,-1268,4607,-4903,-6800,1769,429165,32839,-553,-135,631,-313,-341,8,589279,11578,-755,-177,-123,-330,-578,235,664435,12131,-1147,-269,-220,-632,-619,263,597597,10274,-843,-461,-709,-680,-654,215,219701,8083,-215,74,269,-48,-93,7
8/23/20,5668564,176364,-7795,-2270,4334,-5138,-6878,1393,429737,32851,-411,-186,695,-356,-282,-6,594035,11696,-575,-292,-162,-323,-529,207,669280,12153,-1038,-376,-198,-621,-588,221,600571,10325,-818,-534,-473,-634,-680,195,221594,8089,-151,-11,253,-97,-148,31
8/24/20,5705555,176800,-7930,-3280,1829,-7702,-33853,9728,430145,32852,-350,-124,278,-522,-1619,431,598262,11742,-623,-408,-177,-460,-2258,692,675561,12235,-1030,-415,-250,-907,-1600,494,602829,10397,-942,-685,-589,-764,-1381,402,223206,8097,-164,-26,144,-259,-1036,302
8/25/20,5743594,178030,-7526,-2205,2161,-7639,-35143,10354,430774,32881,-344,-82,255,-515,-1655,457,604328,11935,-574,-203,-116,-440,-2490,712,681032,12382,-999,-336,-98,-906,-1643,505,605502,10580,-873,-538,-449,-666,-1355,388,224887,8126,-163,-18,168,-247,-1051,337
8/26/20,5789196,179242,-6962,-2078,2831,-7391,-34208,9773,431340,32887,-300,-73,436,-485,-1624,405,610648,12140,-638,-274,-87,-438,-2565,766,687004,12532,-1013,-370,-132,-902,-1595,509,608722,10733,-839,-556,-449,-690,-1284,373,227043,8163,-165,-5,160,-231,-1001,331
8/27/20,5834304,180345,-8951,-3081,2438,-7509,-35354,10239,432131,32887,-464,-139,222,-518,-1675,519,614549,12365,-767,-495,-51,-495,-2853,845,691821,12677,-1006,-354,-43,-789,-1605,503,611991,10868,-864,-567,-420,-693,-1294,375,228750,8186,-185,15,159,-222,-991,317
8/28/20,5879832,181303,-10997,-3815,2150,-7238,-32290,9734,432767,32890,-499,-120,251,-479,-1614,441,619354,12537,-803,-444,-182,-419,-2392,725,697385,12805,-1088,-382,-99,-847,-1514,492,615806,10957,-852,-524,-458,-706,-1269,386,231186,8206,-242,-15,172,-200,-972,292
8/29/20,5925253,182257,-11756,-2322,4159,-5448,-7056,2280,433402,32891,-581,-157,230,-411,-392,123,626751,12607,-789,-294,-168,-324,-575,202,702038,12894,-1058,-272,94,-585,-570,224,619003,11105,-868,-525,-544,-674,-688,210,233066,8217,-237,60,283,-56,-92,10
8/30/20,5960306,182561,-7089,-2543,4994,-4971,-6599,1100,434100,32909,-335,-160,759,-298,-255,-22,629570,12683,-609,-393,-247,-315,-538,194,705951,12937,-908,-337,191,-573,-528,175,621586,11119,-882,-614,-730,-666,-709,207,235058,8228,-137,-2,346,-88,-132,17
8/31/20,5994356,183153,-7223,-3288,1619,-7437,-32412,9059,434756,32957,-299,-115,279,-509,-1580,390,632739,12779,-555,-425,-189,-447,-2219,654,712475,13022,-947,-386,-86,-861,-1540,459,623471,11187,-918,-653,-638,-706,-1308,350,236724,8235,-174,-33,188,-243,-1003,291
9/1/20,6036606,184213,-5349,-697,2369,-7132,-33713,9077,435510,32966,-273,-18,256,-494,-1603,412,637721,12919,-449,-268,-186,-495,-2329,717,715617,13150,-860,-236,5,-816,-1585,458,631040,11374,-765,-430,-429,-588,-1299,340,238216,8273,-180,-7,59,-252,-1020,346
9/2/20,6076744,185260,-5984,-1685,2279,-7289,-33613,9069,436218,32972,-372,-92,150,-523,-1643,474,641855,13104,-426,-304,-135,-426,-2269,750,721281,13317,-878,-296,-18,-840,-1581,461,633442,11501,-779,-515,-392,-630,-1271,331,240344,8300,-117,24,229,-223,-977,292
9/3/20,6120383,186320,-4990,193,2727,-6342,-33717,7838,437107,32976,-264,15,287,-465,-1592,333,645422,13296,-384,-192,-131,-380,-2316,663,726018,13493,-836,-202,-2,-747,-1600,448,637013,11650,-715,-404,-365,-564,-1277,302,241704,8324,-98,82,227,-195,-987,248
9/4/20,6170394,187277,-7063,84,3797,-5858,-34161,7270,437971,32982,-384,-19,355,-438,-1701,376,651350,13426,-531,-206,-194,-379,-2320,653,730662,13638,-892,-171,2,-733,-1575,438,640211,11750,-721,-363,-417,-558,-1336,323,247298,8362,-143,69,254,-148,-1027,204
9/5/20,6214219,188053,-9977,206,6525,-4584,-9224,807,438772,32987,-468,-61,646,-294,-390,-1,655815,13576,-660,-197,-109,-350,-767,195,735314,13709,-953,-109,186,-544,-667,184,643867,11811,-695,-300,-269,-601,-797,156,250102,8385,-246,95,289,-57,-189,-10
9/6/20,6245312,188442,-5672,-1125,7247,-5523,-8319,211,439501,32987,-315,-127,692,-323,-281,-51,658202,13654,-418,-210,-84,-384,-625,121,738856,13731,-811,-184,358,-594,-618,140,646431,11849,-562,-348,-62,-678,-798,131,251515,8390,-231,-25,271,-116,-213,18
9/7/20,6268524,188709,-7792,-3469,4973,-10044,-89349,14605,440021,33002,-385,-172,359,-656,-3762,631,659041,13697,-485,-368,-74,-657,-5537,1015,740965,13758,-864,-284,244,-1014,-2923,711,648269,11871,-800,-669,-74,-883,-3183,631,252884,8398,-207,-5,324,-398,-2953,410
9/8/20,6295037,189139,-7958,-2013,1058,-7381,-35734,8986,440578,33016,-352,-54,295,-491,-1650,371,662427,13792,-589,-350,-158,-421,-2352,663,744344,13823,-926,-270,-219,-870,-1656,436,650092,11915,-837,-469,-504,-539,-1319,319,254276,8405,-289,-55,-31,-292,-1086,369
9/9/20,6328589,190310,-8113,-2760,812,-7630,-33594,8400,441154,33019,-363,-55,269,-491,-1601,345,667500,13923,-655,-436,-260,-474,-2216,675,747290,13983,-1015,-410,-369,-938,-1632,472,652259,12110,-821,-556,-609,-634,-1238,313,255613,8433,-215,-16,83,-256,-980,301
9/10/20,6364084,191212,-8937,-2816,1215,-7567,-33577,7626,441911,33019,-436,-87,167,-517,-1584,361,669141,13930,-593,-341,-161,-456,-2269,548,750961,14077,-992,-350,-371,-907,-1617,482,654731,12326,-834,-548,-468,-654,-1254,286,257566,8461,-238,-4,70,-238,-980,271
9/11/20,6411430,192410,-13167,-4141,34490,-8226,-64250,6505,442791,33019,-666,-46,2183,-740,-1894,319,674943,14227,-1299,-968,982,-578,-4744,438,754905,14230,-1259,-393,31,-1029,-1840,487,658381,12502,-1052,-689,-671,-1168,-1870,298,259879,8505,-289,-138,939,-224,-2142,222
9/12/20,6451963,193111,-9726,2081,49104,-1844,-18975,1202,443640,33023,-298,168,2867,-279,-479,-1,677625,14332,-1065,-437,1836,3,-1993,124,758933,14327,-1250,-270,-109,-862,-767,235,661571,12600,-1087,-678,-918,-1241,-1128,197,261999,8527,-182,171,894,-8,-441,58
9/13/20,6486363,193485,-7577,174,40150,-2479,-24592,1306,444365,33023,-312,-61,2559,-411,-508,41,681885,14405,-1031,-591,764,-377,-2319,162,761728,14378,-1122,-374,-8,-744,-863,204,663994,12608,-1159,-768,-1425,-1209,-1391,206,263459,8541,40,139,2369,48,-558,11
9/14/20,6519881,193901,-6901,-495,29502,-9558,-57929,6919,444948,33030,-399,3,1771,-735,-1699,336,685748,14451,-1118,-935,469,-801,-4116,492,765134,14439,-1078,-355,100,-1106,-1710,448,665730,12642,-1062,-682,-1074,-1192,-1691,300,264831,8546,-71,-46,1356,-275,-1997,235
9/15/20,6558611,195180,-4366,2153,30871,-10100,-61596,8063,445714,33038,-335,46,1558,-733,-1682,359,692753,14593,-809,-615,1042,-532,-4465,576,768204,14594,-1051,-247,419,-1055,-1745,474,668846,12787,-1168,-763,-1306,-1317,-1899,405,266295,8564,35,0,1210,-259,-2028,264
9/16/20,6597115,196144,-7029,-2788,31338,-10401,-64721,7935,446366,33042,-432,-164,1937,-808,-1750,366,696807,14738,-974,-693,845,-557,-4472,569,771321,14691,-1130,-425,428,-1112,-1821,461,671201,12939,-1382,-1035,-908,-1384,-2249,362,268238,8599,-30,-99,1360,-262,-2111,255
9/17/20,6641233,196994,-8617,-2176,28048,-9376,-64237,8523,447262,33070,-424,-9,1559,-714,-1707,357,701350,14826,-1038,-781,1035,-725,-4553,586,775037,14804,-1140,-382,476,-1054,-1828,468,674456,13086,-1009,-658,-779,-1033,-1940,316,270294,8624,-2,32,1527,-283,-2050,249
9/18/20,6689117,197918,-9026,-2790,33733,-7330,-58704,7409,448052,33085,-540,-52,1776,-784,-1738,366,704563,14951,-1072,-746,895,-362,-4319,548,779491,14893,-1179,-387,510,-1028,-1729,449,677660,13225,-989,-636,-578,-1113,-1783,307,272517,8647,-71,-91,1351,-163,-1998,207
9/19/20,6731875,198624,-4077,4575,51621,-576,-18049,887,449038,33081,-77,257,2744,-310,-529,37,707940,15051,-854,-289,2042,22,-2103,134,783313,15018,-1084,-197,883,-664,-709,169,681233,13287,-973,-556,-597,-1063,-1060,155,275041,8672,151,338,1677,230,-279,-19
9/20/20,6769459,198848,-2199,1225,45890,-1294,-22006,1078,449900,33087,69,24,2741,-380,-447,12,713007,15088,-971,-584,577,-380,-2119,182,786168,15016,-929,-333,810,-589,-742,155,683754,13296,-973,-672,-1071,-1050,-1296,172,276443,8686,111,139,2168,19,-498,11
9/21/20,6820602,199266,-7192,-2061,27168,-9811,-60997,8184,450473,33159,-343,41,1644,-804,-1728,374,734778,15127,-1670,-1301,-951,-1150,-4717,770,790096,15056,-1074,-405,353,-1131,-1772,440,685439,13317,-943,-674,-754,-1012,-1715,295,277920,8693,-60,-77,1244,-319,-2085,260
9/22/20,6860074,200287,-8271,-1390,26346,-11970,-61621,9111,451227,33263,-417,-3,1338,-780,-1684,394,741363,15229,-1672,-1252,-679,-1364,-4873,905,793065,15189,-1066,-304,373,-1192,-1784,468,687909,13416,-912,-651,-634,-1007,-1656,313,279453,8722,-77,-66,1089,-329,-2025,282
9/23/20,6898068,201383,-8626,-1600,27160,-11696,-58605,10402,451892,33264,-422,-12,1761,-866,-1627,415,742913,15372,-1374,-813,121,-898,-4123,852,796436,15291,-1098,-385,261,-1273,-1761,491,690499,13618,-898,-714,-604,-1096,-1598,330,281303,8744,-104,-63,1012,-279,-1968,334
9/24/20,6941700,202285,-10299,-1849,24024,-10189,-58837,10822,452847,33269,-386,40,1440,-735,-1559,385,747366,15510,-1198,-730,620,-771,-4172,740,799516,15393,-1121,-348,234,-1176,-1773,491,693040,13795,-959,-714,-980,-1003,-1626,343,283559,8774,-68,50,1194,-313,-1934,312
9/25/20,6990485,203215,-12185,-3448,27686,-9074,-55760,9785,453755,33283,-574,-20,1904,-780,-1611,379,751068,15610,-1285,-798,482,-621,-4006,678,803660,15516,-1111,-411,344,-1106,-1713,466,695887,13915,-968,-674,-904,-1128,-1604,349,286332,8807,-168,-108,1419,-206,-1904,255
9/26/20,7034611,203948,-7671,3262,46505,-3282,-14566,1436,454760,33286,-128,305,2872,-369,-374,-12,754311,15707,-1149,-405,1466,-169,-1722,245,807451,15583,-1036,-199,763,-831,-635,179,698682,14022,-930,-548,-397,-1157,-930,165,288773,8832,35,281,1583,162,-185,-22
9/27/20,7071412,204213,-5728,-313,38073,-2421,-20698,1769,455626,33293,77,62,2929,-386,-379,-15,758756,15745,-1146,-643,386,-224,-2030,288,809890,15606,-886,-317,646,-653,-716,154,700564,14032,-994,-727,-990,-1085,-1251,183,290373,8845,-30,116,1724,-21,-427,30
9/28/20,7102858,204524,-11294,-3375,18074,-11385,-54601,10893,456460,33302,-451,28,1608,-812,-1721,427,761198,15807,-1342,-926,-39,-683,-3867,733,812711,15633,-1004,-353,-5,-1162,-1706,458,701302,14037,-1054,-778,-1263,-1101,-1617,347,292082,8858,-206,17,486,-422,-1887,388
9/29/20,7144368,205428,-10922,-1676,17111,-12390,-57292,10946,457649,33310,-657,-98,581,-865,-1609,487,767264,15902,-1069,-751,669,-650,-4143,700,815654,15782,-1084,-315,10,-1214,-1754,485,704568,14143,-1006,-742,-1513,-1073,-1580,358,293448,8881,-189,13,581,-347,-1901,363
9/30/20,7185227,206371,-6148,1107,22515,-9872,-59772,9108,458649,33324,-555,4,1003,-899,-1668,458,773019,16016,-788,-413,564,-339,-4239,571,819115,15885,-1035,-322,-120,-1217,-1826,467,706516,14317,-795,-647,-672,-1013,-1617,279,295720,8916,-83,40,786,-310,-2015,317
10/1/20,7230394,207227,-2413,6679,24448,-7417,-56024,7359,460031,33332,-315,326,1490,-708,-1499,331,776736,16130,-487,-156,852,-406,-4123,453,822205,15973,-920,-146,-215,-1084,-1739,459,709144,14444,-741,-546,-827,-898,-1537,242,297884,8940,7,261,528,-311,-1877,275
10/2/20,7283527,208126,-6553,3414,24606,-6044,-54181,7173,461629,33372,-671,80,1123,-817,-1580,421,782306,16224,-744,-363,446,-175,-4109,452,826013,16054,-1056,-223,-96,-1089,-1679,451,711804,14554,-802,-462,-850,-1032,-1547,263,300340,8992,-126,85,846,-185,-1833,240
10/3/20,7332611,208810,-3905,6999,44290,-822,-19378,674,463360,33375,-176,351,2596,-323,-534,43,787425,16295,-652,-89,1627,-45,-2197,135,829521,16115,-952,-106,289,-786,-693,180,714591,14628,-825,-485,-867,-1052,-1050,163,302782,9023,-25,387,1076,47,-447,29
10/4/20,7368704,209148,-3295,2296,35435,-1357,-24702,1320,464582,33389,-130,79,2339,-301,-547,15,790194,16320,-758,-398,650,-127,-2331,194,832713,16147,-794,-227,452,-584,-732,143,716459,14671,-910,-624,-1694,-1024,-1274,193,304235,9040,54,275,1410,-95,-595,39
10/5/20,7406850,209598,-7609,1462,20965,-9038,-58588,7899,465515,33402,-509,112,1350,-776,-1661,378,794319,16437,-1063,-634,171,-594,-4167,517,835507,16171,-938,-206,134,-1111,-1733,408,717874,14712,-895,-559,-1177,-1006,-1599,257,306088,9054,-193,69,717,-317,-1988,292
10/6/20,7449020,210303,-7960,2246,26593,-10010,-60590,8140,466908,33409,-514,158,1394,-712,-1651,356,798569,16528,-1046,-567,679,-514,-4453,571,838202,16244,-982,-224,278,-1187,-1776,438,720125,14767,-896,-476,-933,-970,-1628,271,307705,9085,-178,40,990,-353,-2020,293
10/7/20,7499858,211212,-8506,1103,26079,-9615,-58356,8669,468268,33421,-722,-103,924,-894,-1671,455,803690,16661,-1050,-463,622,-412,-4093,584,841928,16338,-1057,-341,139,-1316,-1758,463,722707,14904,-932,-580,-763,-989,-1536,277,310335,9127,-144,60,1036,-292,-1977,292
10/8/20,7556623,212170,-9323,1525,28619,-7222,-58264,9324,470104,33429,-438,172,1329,-656,-1584,379,807754,16767,-1006,-391,780,-364,-4216,634,845270,16418,-1015,-301,258,-1221,-1754,480,726013,15068,-919,-622,-694,-877,-1508,294,313429,9159,-146,95,1175,-330,-1931,292
10/9/20,7612478,213123,-13521,-2738,30857,-6846,-59544,9636,471696,33461,-665,13,1728,-567,-1666,405,812191,16871,-1386,-659,79,-433,-4493,777,849076,16486,-1052,-307,391,-1132,-1680,459,728921,15186,-933,-584,-779,-1010,-1544,316,316546,9191,-181,-52,1467,-185,-2150,250
10/10/20,7666403,213735,-11559,1087,39790,-3572,-18959,2174,473143,33466,-210,247,2579,-233,-462,54,815915,16943,-1021,-278,1144,-8,-2004,226,852410,16567,-965,-201,549,-914,-637,190,728921,15186,-921,-554,-781,-1042,-941,191,319451,9221,-68,288,1392,144,-381,-25
10/11/20,7712077,214133,-8240,-1563,27543,-2463,-23138,2275,474286,33469,65,77,2376,-342,-466,14,818426,16971,-1018,-491,445,-60,-2180,240,855190,16579,-723,-288,1078,-661,-693,148,734491,15364,-823,-561,-615,-925,-1153,168,322178,9230,120,141,1887,-37,-511,-10
10/12/20,7752230,214449,-11885,-4011,15735,-9110,-74086,12879,475315,33482,-448,-97,515,-768,-2596,649,821110,16995,-1217,-748,371,-279,-5817,868,857913,16586,-882,-312,738,-1189,-1949,467,736024,15412,-938,-649,-651,-847,-1837,330,324918,9243,-296,-108,413,-368,-3188,466
10/13/20,7805017,215250,-11841,-1120,21208,-10885,-59001,10746,476708,33490,-837,-175,467,-823,-1634,518,826816,17078,-1071,-640,993,-467,-4333,686,861310,16644,-955,-249,601,-1220,-1713,466,738749,15531,-917,-542,-647,-878,-1580,312,327771,9273,-274,-48,894,-341,-1976,353
10/14/20,7863382,216231,-8085,812,26522,-8752,-57016,10239,477940,33500,-545,-18,1518,-725,-1557,442,832736,17188,-876,-453,776,-254,-3994,668,865204,16729,-967,-308,394,-1229,-1703,477,741632,15595,-814,-523,-425,-912,-1519,301,330637,9320,-200,-41,828,-309,-1965,348
10/15/20,7927195,217052,-9130,1765,23850,-7663,-58759,10705,479400,33524,-561,0,1349,-703,-1493,427,837566,17283,-891,-405,805,-423,-4141,667,868148,16832,-958,-236,422,-1140,-1704,476,744988,15736,-816,-473,-612,-832,-1517,291,334651,9373,-246,87,627,-359,-1932,382
10/16/20,7995119,217927,-13788,-3291,16777,-7722,-57940,11044,481107,33533,-1057,-341,193,-927,-1596,591,843487,17375,-1117,-570,164,-353,-4153,661,871253,16910,-1004,-277,472,-1058,-1634,457,748437,15830,-893,-538,-694,-889,-1586,318,339757,9425,-316,-146,619,-276,-1907,333
10/17/20,8052061,218639,-9419,2435,40709,-1743,-18827,2053,482891,33547,-330,167,2459,-379,-455,95,848442,17440,-1001,-478,1071,-37,-2059,237,873614,16956,-894,-180,909,-741,-667,167,752481,15917,-782,-417,-120,-806,-972,131,343386,9452,-209,226,1303,27,-381,42
10/18/20,8100982,219024,-10075,-2367,26403,-1292,-24288,2534,484281,33559,-305,-98,2457,-366,-506,83,854006,17465,-944,-645,396,6,-2279,258,875692,16979,-735,-263,807,-590,-696,142,755020,15967,-796,-498,-573,-687,-1194,146,347631,9474,-397,-124,379,-261,-666,100
10/19/20,8166920,219471,-15420,-4959,12085,-10916,-55618,11176,485279,33575,-864,-230,862,-868,-1558,501,856948,17481,-1353,-960,84,-728,-3981,667,879645,16982,-984,-367,256,-1153,-1663,445,756727,16021,-982,-685,-1202,-905,-1561,303,350744,9496,-509,-216,26,-421,-1920,427
10/20/20,8227278,220410,-14867,-3338,16305,-12184,-56808,11790,486480,33582,-871,-179,768,-847,-1571,523,862277,17558,-1122,-807,638,-644,-4120,721,883746,17055,-988,-250,402,-1194,-1678,471,760389,16105,-922,-581,-1118,-905,-1570,330,354457,9537,-440,-164,143,-441,-1966,446
10/21/20,8289698,221530,-10960,-1543,19005,-10580,-54783,10888,488506,33589,-774,-167,1010,-878,-1558,507,868981,17652,-960,-556,656,-371,-3767,650,886939,17167,-978,-330,300,-1222,-1671,468,762533,16210,-859,-610,-1039,-987,-1508,330,358799,9605,-299,-130,453,-387,-1866,402
10/22/20,8362175,222376,-12526,-2165,20834,-9728,-55865,10770,490134,33614,-690,-81,1139,-765,-1466,442,871453,17659,-968,-585,850,-425,-4013,617,893364,17256,-1009,-301,288,-1194,-1694,478,768091,16267,-846,-529,-826,-817,-1511,288,363740,9647,-165,-43,889,-320,-1843,352
10/23/20,8443478,223304,-15853,-5606,17137,-9328,-54936,11157,491771,33625,-825,-200,1650,-823,-1533,445,878567,17773,-1264,-822,-285,-415,-4018,713,898799,17305,-1023,-351,345,-1044,-1600,452,771780,16340,-828,-511,-656,-883,-1591,292,368740,9688,-529,-282,66,-455,-2072,463
10/24/20,8527238,224224,-14576,-259,32519,-5819,-17783,2812,493832,33634,-546,46,2198,-579,-540,132,888362,17915,-1057,-491,763,-122,-1934,232,903684,17343,-910,-215,619,-872,-650,173,776251,16417,-824,-512,-468,-936,-983,146,374901,9751,-304,214,1191,-109,-330,67
10/25/20,8588520,224561,-15496,-4792,12945,-6810,-25801,3254,495464,33642,-502,-139,1804,-515,-538,97,892006,17955,-1065,-662,-152,-203,-2253,262,906596,17358,-774,-317,486,-800,-732,128,778636,16429,-777,-488,-468,-738,-1185,129,378958,9775,-427,-32,573,-334,-691,96
